prompt,expected_service
"Statement 1 | If a and b are elements of a group and a is not equal to b, then a^2 is not equal to b^2. Statement 2 | The set of rotations in a dihedral group form a cyclic subgroup.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | In a group (ab)^{-2} = b^{-2}a^{-2}. Statement 2 | In a group (ab)^n = a^nb^n.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | S_n is non-Abelian for all n >= 3. Statement 2 | If a is a permutation that is an m-cycle and b is a permutation that is an n-cycle, then |ab| = lcm(m,n).?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
Find the characteristic of the ring Z x Z.?    A. 0    B. 3    C. 12    D. 30,abstract_algebra
"Statement 1 | For n > 1, the set {1,2, ..., n-1} is a group under multiplication modulo n. Statement 2 | There is an integer x such that 63x mod 100 = 1.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | If K is a nonzero subgroup of a finitely generated free abelian group, then K is free abelian. Statement 2 | If K is a nonzero subgroup of a finitely generated free abelian group, then G / K is free abelian.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | The external direct product of cyclic groups is cyclic. Statement 2 | The external direct product of D_3 and D_4 is isomorphic to D_12.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | Every nonzero free abelian group has an infinite number of bases. Statement 2 | Every free abelian group of rank at least 2 has an infinite number of bases.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | For every positive integer n there is a cyclic group of order n. Statement 2 | Every finite cyclic group contains an element of every order that divides the order of the group.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | If a group has an element of order 10, then it has elements of orders 1, 2, and 5. Statement 2 | If a group has an element of order 2 and an element of order 3, then it has an element of order 6.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function g must necessarily be injective. Statement 2 | The function g must necessarily be surjective.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | A homomorphism is one to one if and only if the kernel consists of the identity element alone. Statement 2 | The image of a group of 6 elements under some homomorphism may have 4 elements.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"For T: Z x Z -> Z where T(1, 0) = 3 and T(0, 1) = -5, find T(-3,2).?    A. -19    B. -10    C. 19    D. 10",abstract_algebra
Compute the product in the given ring. (12)(16) in Z_24?    A. 0    B. 1    C. 4    D. 6,abstract_algebra
"Statement 1 | Every permutation is a one-to-one function. Statement 2 | Every function is a permutation if and only if it is one to one.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | If a finite group has order n then the group contains a subgroup of order d for every positive divisor d of n. Statement 2 | If a belongs to a finite group then |a| divides |G|.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Find all cosets of the subgroup 4Z of 2Z.?    A. 4Z    B. 4Z, 2 + 4Z    C. 2Z    D. Z",abstract_algebra
"Which of the following statements is true?    A. Every equivalence relation is a partial-ordering relation.    B. Number of relations form A = {x, y, z} to B= (1, 2), is 64.    C. Empty relation _ is reflexive    D. Properties of a relation being symmetric and being un-symmetric are negative of each other.",abstract_algebra
Find the maximum possible order for an element of S_n for n = 6.?    A. 6    B. 12    C. 30    D. 105,abstract_algebra
"Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^2 + 1 in Z_2?    A. 0    B. 1    C. 0,1    D. 2",abstract_algebra
Find the number of elements in the indicated cyclic group: The cyclic subgroup of Z_30 generated by 25.?    A. 25    B. 5    C. 6    D. 30,abstract_algebra
"The element (4, 2) of Z_12 x Z_8 has order?    A. 4    B. 8    C. 12    D. 6",abstract_algebra
"Statement 1 | Every ideal in a ring is a subring of the ring. Statement 2 | Every subring of every ring is an ideal of the ring.?    A. True, True    B. False, False    C. True, False    D. False, True",abstract_algebra
"A ""dished face"" profile is often associated with?    A. a protruding mandible due to reactivation of the condylar cartilage by acromegaly.    B. a recessive maxilla due to failure of elongation of the cranial base.    C. an enlarged frontal bone due to hydrocephaly.    D. defective development of the maxillary air sinus.",anatomy
Which of the following best describes the structure that collects urine in the body?    A. Bladder    B. Kidney    C. Ureter    D. Urethra,anatomy
Which of the following structures is derived from ectomesenchyme?    A. Motor neurons    B. Skeletal muscles    C. Melanocytes    D. Sweat glands,anatomy
Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?    A. Afferent arteriole    B. Glomerulus    C. Loop of Henle    D. Renal pelvis,anatomy
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.?    A. They will be unable to breathe without life support.    B. They will only be able to breathe quietly.    C. It is impossible to predict an effect on breathing.    D. Breathing will be unaffected.,anatomy
Which of the following anatomical regions of abdomen lies just distal to the sternum?    A. Epigastric    B. Hypochondriac    C. Hypogastric    D. Lumbar,anatomy
Which of the following best describes the human body's defense mechanism against environmental bacteria?    A. Hair in the nose    B. Mucous membranes    C. Osteoblasts    D. Saliva,anatomy
The palatine processes begin to fuse at?    A. six weeks post-fertilization.    B. eight weeks post-fertilization.    C. ten weeks post-fertilization.    D. twelve weeks post-fertilization.,anatomy
Primary motor cortex activity results in?    A. bilateral contraction of antigravity limb muscles.    B. bilateral contraction of limb musculature.    C. contraction of ipsilateral limb musculature.    D. contraction of contralateral limb musculature.,anatomy
"You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the?    A. hard palate.    B. hard palate and upper lip.    C. hard palate, upper lip and upper central incisor.    D. hard palate, upper lip, upper central incisor and lower first molar.",anatomy
A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?    A. Pupillary constriction and a medial strabismus    B. Pupillary dilatation and a medial strabismus    C. Pupillary constriction and a lateral strabismus    D. Pupillary dilatation and a lateral strabismus,anatomy
Which of the following statements is true of the temporomandibular joint?    A. It has an articular disc of hyaline cartilage    B. Its articular surfaces are covered by hyaline cartilage    C. Proprioceptive information is carried by the chorda tympani and deep temporal nerves    D. Proprioceptive information is carried by the masseteric and auriculotemporal nerves.,anatomy
Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because?    A. cricothyroid muscle is still functional but the interarytenoid muscles are fully active.    B. cricothyroid muscle is still functional but the interarytenoids are weak.    C. cricothyroid muscle is paralyzed but the interarytenoids are fully active.    D. cricothyroid muscle is paralyzed but the interarytenoids are weak.,anatomy
Which one of the following statements about the growth of the mandible is correct?    A. The mental symphysis closes at about 1 year postnatally    B. The condylar growth cartilage ceases activity at puberty    C. The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage    D. The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle,anatomy
Which of the following statements is true of the pupillary light reflex?    A. Its efferent limb is carried in the optic nerve    B. It is mediated by the inferior colliculi in the midbrain    C. It is a consensual reflex    D. Its afferent limb is carried in the oculomotor nerve,anatomy
Which muscles are normally active during quiet inspiration?    A. External and internal intercostal muscles    B. External intercostal muscles and diaphragm    C. Internal intercostal muscles and diaphragm    D. External and internal intercostal muscles and diaphragm,anatomy
Male hormones are produced by which of the following?    A. Glans penis    B. Prepuce    C. Prostate    D. Testes,anatomy
Oxygenated blood is carried to the heart by which of the following structures?    A. Aorta    B. Carotid arteries    C. Inferior vena cava    D. Pulmonary veins,anatomy
Which of the following allows air to pass into the lungs?    A. Aorta    B. Esophagus    C. Trachea    D. Pancreas,anatomy
Where is the sinoatrial node located?    A. Between the left atrium and the left ventricle    B. Between the right atrium and the right ventricle    C. In the upper wall of the right atrium    D. In the upper wall of the left ventricle,anatomy
"In relation to the rib, the corresponding intercostal nerve lies?    A. deep to its superior border.    B. superficial to its superior border.    C. deep to its inferior border.    D. superficial to its inferior border.",anatomy
The regional lymphatic drainage of the left side of the tip of the tongue is to the?    A. left submental lymph node.    B. left and right submental lymph nodes.    C. left submandibular lymph node.    D. left and right submandibular lymph nodes.,anatomy
Gastrulation is the process of?    A. mesoderm formation and occurs after neurulation.    B. ectomesenchyme formation and occurs before neurulation.    C. mesoderm formation and occurs before neurulation.    D. ectomesenchyme formation and occurs after neurulation.,anatomy
The spheno-occipital synchondrosis?    A. is a secondary growth cartilage.    B. influences the position of the viscerocranium.    C. ceases activity at 7 years of age.    D. can be reactivated in patients affected by acromegaly.,anatomy
Which of the following substances is found in greater quantity in exhaled air?    A. Carbon dioxide    B. Carbon monoxide    C. Nitrogen    D. Oxygen,anatomy
Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?    A. Glomerulonephritis    B. Interstitial nephritis    C. Nephrolithiasis    D. Polycystic kidney,anatomy
A pulse may be felt on a patient's face where the?    A. facial artery crosses the mandible.    B. facial artery crosses the maxilla.    C. superficial temporal artery crosses the maxilla.    D. superficial temporal artery crosses the orbital rim.,anatomy
A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?    A. Appendix    B. Gallbladder    C. Spleen    D. Urinary bladder,anatomy
Which statement concerning the atrioventricular bundle is correct?    A. It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.    B. It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles    C. It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.    D. It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.,anatomy
Which of the following terms describes the motion of bending the forearm toward the body?    A. Abduction    B. Eversion    C. Flexion    D. Pronation,anatomy
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by?    A. constriction of the laryngeal entrance.    B. upward movement of the epiglottis.    C. downward movement of the larynx.    D. increase in respiratory rate.,anatomy
At which of the following locations does bile enter the digestive tract?    A. Gastroesophageal sphincter    B. Duodenum    C. Ileocecum    D. Jejunum,anatomy
In which of the following positions does a patient lie face down?    A. Dorsal    B. Erect    C. Lateral    D. Prone,anatomy
"Complete bilateral cleft palate is due to failure of fusion of the?    A. palatine processes.    B. palatine and frontonasal processes.    C. palatine, frontonasal and secondary nasal processes.    D. palatine, frontonasal, secondary nasal processes and mandibular processes.",anatomy
The auditory tube?    A. connects the inner ear and nasopharynx.    B. is derived from the second pharyngeal pouch.    C. is opened by the action of levator veli palatini.    D. is closed by the action of tensor veli palatini.,anatomy
Which of the following is the lymphoid organ that is a reservoir for red blood cells and filters organisms from the blood?    A. Appendix    B. Gallbladder    C. Pancreas    D. Spleen,anatomy
Which of the following cavities are separated by the diaphragm?    A. Abdominal and pelvic    B. Cranial and spinal    C. Thoracic and abdominal    D. Pericardial and pleural,anatomy
"The walls of bronchioles contain?    A. cartilage, smooth muscle and respiratory epithelium.    B. cartilage and smooth muscle.    C. cartilage and respiratory epithelium.    D. smooth muscle and respiratory epithelium.",anatomy
"Which of the following organs removes bilirubin from the blood, manufactures plasma proteins, and is involved with the production of prothrombin and fibrinogen?    A. Gallbladder    B. Kidney    C. Liver    D. Spleen",anatomy
Which of the following conditions is characterized by incompetence of the esophageal sphincter?    A. Crohn's disease    B. Esophageal varices    C. Gastroesophageal reflux disease    D. Pyloric stenosis,anatomy
The muscles of the soft palate are innervated by branches of the?    A. trigeminal and glossopharyngeal nerves.    B. facial and glossopharyngeal nerves.    C. trigeminal and vagus nerves.    D. facial and vagus nerves.,anatomy
Which of the following is the large bone found superior to the patella and inferior to the ischium?    A. Calcaneus    B. Femur    C. Symphysis pubis    D. Tibia,anatomy
"A successful inferior alveolar nerve block will produce anaesthesia of the?    A. lower lip.    B. lower lip and mandibular teeth.    C. lower lip, mandibular teeth and labial gingivae of the anterior mandibular teeth.    D. lower lip, mandibular teeth and labial gingivae of the anterior and buccal gingivae of the posterior mandibular teeth.",anatomy
The mucosa of the upper larynx is innervated by the?    A. internal laryngeal nerve which is the afferent limb of the cough reflex.    B. external laryngeal nerve which is the afferent limb of the gag reflex.    C. internal laryngeal nerve which is the afferent limb of the gag reflex.    D. external laryngeal nerve which is the afferent limb of the cough reflex.,anatomy
The bones of the viscerocranium develop initially by?    A. endochondral ossification and follow the somatic growth pattern.    B. endochondral ossification and follow the neural growth pattern.    C. intramembranous ossification and follow the somatic growth pattern.    D. intramembranous ossification and follow the neural growth pattern.,anatomy
The physician directs the medical assistant to complete a request form for an X-ray study of the fibula. The procedure will be performed on which of the following structures?    A. Heel    B. Lower leg    C. Toes    D. Thigh,anatomy
Which cells in the blood do not have a nucleus?    A. Lymphocyte    B. Monocyte    C. Erythrocyte    D. Basophil,anatomy
"The coronal suture joins the?    A. frontal and parietal bones.    B. left and right parietal bones.    C. parietal and occipital bones.    D. parietal, squamous temporal and greater wing of the sphenoid.",anatomy
"If you run your finger down the anterior midline of a patient's extended neck from chin to sternal notch, you should be able to palpate, in order, the?    A. hyoid bone, cricoid cartilage, thyroid cartilage.    B. thyroid cartilage, cricoid cartilage, hyoid bone.    C. hyoid bone, thyroid cartilage, cricoid cartilage.    D. thyroid cartilage, hyoid bone, cricoids cartilage.",anatomy
Which of the following bony structures may be palpated in a live patient?    A. The supraorbital foramen    B. The infraorbital foramen    C. The mental foramen    D. All of the above,anatomy
Which of the following structures accompany the oesophagus through the diaphragm?    A. The phrenic nerves    B. The splanchnic nerves    C. The sympathetic trunks    D. The vagus nerves,anatomy
Which sequence describes the systemic circulation?    A. Left ventricle → aorta → arteries → veins → capillaries    B. Left ventricle → aorta → arteries →capillaries → veins    C. Right ventricle → pulmonary trunk → arteries → capillaries →veins    D. Right ventricle → pulmonary trunk → arteries → veins → capillaries,anatomy
The anatomic location of the spinal canal is?    A. caudal    B. dorsal    C. frontal    D. transverse,anatomy
The parotid duct runs?    A. deep to masseter and enters the mouth opposite the upper second molar.    B. superficial to masseter and enters the mouth opposite the upper second molar.    C. deep to masseter and enters the mouth opposite the upper second premolar.    D. superficial to masseter and enters the mouth opposite the upper second premolar.,anatomy
"If the foot is abducted, it is moved in which direction?    A. Inward    B. Outward    C. Upward    D. Downward",anatomy
The infraorbital nerve?    A. is a terminal branch of the maxillary division of the trigeminal nerve.    B. is a terminal branch of the maxillary branch of the facial nerve.    C. carries parasympathetic secretomotor neurons to the lacrimal gland.    D. innervates the inferior part of the orbicularis oculi muscle.,anatomy
